partner_id,name,type,state,district,address,contact_number,email,navigation_link,active,supported_scheme_types,fund_utilization_status,fund_utilization_note,npa_percentage,eligible_for_new_applications,source_url,data_verified,last_verified,note
CP011,Goa State SCs & OBCs Finance and Development Corporation Ltd. (GSCOBCDC),SCA,Goa,,"4th Floor, Patto Centre, Near K.T.C. Bus Stand, Panaji, Goa – 403 001.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP012,Haryana SCs Fin. and Development Corporation Ltd. (HSCDC),SCA,Haryana,,"SCO-2427-28, Sector 22-C, Chandigarh – 160 022.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP013,Himachal Pradesh SCs & STs Development Corporation (HPSCSTDC),SCA,Himachal Pradesh,,"Kalyan Bhawan, Near Ambusha Resort, Solan – 173212.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP014,Jharkhand State Scheduled Castes Cooperative Development Corporation (JSCDC),SCA,Jharkhand,,"Kalyan Complex, 3rd Floor, Balihar Road, Morabadi, Ranchi-834008.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP015,"J&K SCs, STs & OBCs Dev. Corpn. Ltd. (JKSCSTBCDC)",SCA,Jammu & Kashmir,,"Exchange Road, Near Red Cross Office, Srinagar – 190 001 (May-Oct) / 135-A, Last Morh, Gandhi Nagar, Jammu -180 004 (Nov-Apr).",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP016,Dr B. R. Ambedkar Development Corporation Ltd. (DBRADC),SCA,Karnataka,,"9th & 10th Floor, Visheshwariah Mini Tower, Dr Ambedkar Veedhi, Bengaluru – 560 001.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP017,Kerala State Development Corporation for SCs & STs Ltd. (KSDC),SCA,Kerala,,"Town Hall Road, Thrissur – 680 020.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP018,Kerala State Women's Development Corporation (KSWDC),SCA,Kerala,,"1st Floor, Transport Bhavan, KSRTC Building, East Fort, Attakulangara-695023.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP019,MP State Cooperative SC Finance & Development Corporation (MPSCFDC),SCA,Madhya Pradesh,,"Rajiv Gandhi Bhawan, 35, Shyamala Hills, Bhopal – 462 011.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP020,Mahatma Phule BCs Development Corporation Ltd. (MPBCDC),SCA,Maharashtra,,"1-N, Supreme Shopping Centre, Gulmohar Cross Road No.9, J.V.P.D. Scheme, Juhu, Mumbai – 400 049.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP021,Sahityaratna Lokshahir Annabhau Sathe Development Corporation Ltd. (SLASDC),SCA,Maharashtra,,"New Administration Building No.2, 3rd Floor, Ramkrushna Chemburkar Marg, Chembur (E), Mumbai – 400 071.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP022,Sant Rohidas Leather Industries & Charmakar Development Corporation (LIDCOM),SCA,Maharashtra,,"Bombay Life Building, 5th Floor, 45, Veer Nariman Road, Mumbai – 400 001.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP023,Manipur Tribal Development Corporation Ltd. (MTDC),SCA,Manipur,,"Lamphelpat, Imphal – 795 004.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP024,Manipur SCs & STs Cooperative Dev. Bank (MSTCB),SCA,Manipur,,"Nambun Long, Stadium Road, Imphal East, Manipur-795001.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP025,Meghalaya Cooperative Apex Bank Ltd. (MCAB),SCA,Meghalaya,,"M.G. Road, Kutchery, Shillong – 793 001.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP026,Mizoram Urban Cooperative Development Bank Ltd. (MUCO Bank),SCA,Mizoram,,"Lawlsawmiliani Building (Top Floor), Zarkawt, Aizwal -796 001.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP027,Mizoram Khadi & Village Industries & Board (MKVIB),SCA,Mizoram,,"""Zorun"" Zarkawt, Aizwal -796 007.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP028,Odisha SCs & STs Dev. Finance Co-op. Corpn. Ltd. (OSFDC),SCA,Odisha,,"Lewis Road, Bhubaneshwar – 751 014.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP029,Puducherry Adi Dravidar Dev. Corpn. Ltd. (PADCO),SCA,Puducherry,,"III Floor, Directorate of Adi Dravidar Welfare Department, Thattanchavady, Puducherry - 605 009.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP030,Punjab Scheduled Castes Land Development & Finance Corporation (PSCLDFC),SCA,Punjab,,"SCO No.101-102-103, Sector 17-C, Chandigarh – 160 017.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP031,Rajasthan SCs & STs Fin. & Dev. Co-op. Corporation Ltd. (RSCDC),SCA,Rajasthan,,"III Floor, Central Block, Nehru Sahakar Bhawan, Bhawani Singh Marg, Jaipur–302005.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP032,Sikkim Scheduled Castes Scheduled Tribes & Backward Classes Development Corporation (SSCSTBCDC),SCA,Sikkim,,"Bhanupath, Gangtok, Sikkim – 737 101.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP033,Tamil Nadu Adi Dravidar Housing & Development Corporation Ltd. (TAHDCO),SCA,Tamil Nadu,,"No.31, Cenotaph Road, 2nd Lane, Teynampet, Chennai -600 018.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP034,Tripura Scheduled Castes Co-op. Devp. Corpn. Ltd. (TSCDC),SCA,Tripura,,"Krishna Nagar P.O. Lake Chomubani, Agartala – 799 001.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP035,Uttarakhand Bahu-udeshiya Vitta Evam Vikas Nigam (UBVEVN),SCA,Uttarakhand,,"Janjati Directorate, New Building, Bhagat Singh Colony (Adhoiwala), Dehradun-248 001.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP036,UP Sahkari Gram Vikas Bank Ltd.,SCA,Uttar Pradesh,,"10, Mall Avenue, Lucknow, Uttar Pradesh-226001.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP037,UP Scheduled Castes Finance & Dev. Corpn. Ltd. (UPSCFDC),SCA,Uttar Pradesh,,"B-912, Sector-C, Mahanagar, Lucknow – 226 006.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP038,"West Bengal SCs, STs & OBC Development & Finance Corporation (WBSCSTOBCDFC)",SCA,West Bengal,,"CF 217/A/1 Salt Lake Sector –I, (Mangolic Building) Kolkata – 700 064.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP039,Indian Overseas Bank,PSB,Tamil Nadu,,"Central Office, 763, Anna Salai, Chennai, Tamil Nadu – 600 002.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP040,Bank of Baroda,PSB,Gujarat,,"Baroda Bhavan, 7th Floor, R.C. Dutt Road, Vadodara – 390 007 (Gujarat).",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP041,Canara Bank,PSB,Karnataka,,"Head Office, 112, J.C. Road, Bengaluru – 560 002.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP042,Punjab National Bank,PSB,Delhi,,"Plot No.-4, Sector 10, Dwarka, New Delhi – 110 075.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP043,Punjab & Sind Bank,PSB,Delhi,,"Priority Sector Advance Department, 5th Floor, 21 Rajendra Place, New Delhi – 110 008.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP044,Union Bank of India,PSB,Maharashtra,,"Rural & Agri Business Department, Central Office Union Bank Bhavan, Nariman Point, Mumbai – 400 021.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP045,Indian Bank,PSB,Tamil Nadu,,"Corporate Office, No.254-260, Avvai Shanmungam Salai, Gowdi Mutt Road, Royapetta, Chennai – 600 014.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP046,Bank of Maharashtra,PSB,Maharashtra,,"Head office 'Lok Mangal', 1501, Shivajinagar, Pune-411005, Maharashtra.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP047,Bank of India,PSB,Maharashtra,,"Bandra Kurla Complex, Bandra (East), Mumbai- 400051.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP048,Central Bank of India,PSB,Maharashtra,,"Chandermukhi Bldg., Nariman Point, Mumbai – 400 021.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP049,UCO Bank,PSB,West Bengal,,"No 3&4, DD Block, Sector-1, Bidhannagar, Kolkata, West Bengal-700064.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP050,Bihar Gramin Bank,RRB,Bihar,,"Shri Vishnu Commercial Complex, NH-30, New Bypass, Near BP Highway Services Petrol Pump, Asochak, Patna - 800016.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP051,Maharashtra Gramin Bank,RRB,Maharashtra,,"Plot No.35, Jeewan Shri Town Centre, CIDCO, Aurangabad, Maharashtra – 431 003.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP052,Jharkhand Gramin Bank,RRB,Jharkhand,,"Zila Parishad Market Complex, 3rd Floor, Kutchery Road, Ranchi- 834001, Jharkhand.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP053,Haryana Gramin Bank,RRB,Haryana,,"Near Bajrang Bhawan, Delhi Road, Rohtak, Haryana –124 001.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP054,Gujarat Gramin Bank,RRB,Gujarat,,"Head Office, Sky Line Building, 2nd Floor, Near Shital Guest House, Bharuch - 392001, Gujarat.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP055,Telangana Grameena Bank,RRB,Telangana,,"H.No.2-1-520, 2nd Floor, Vijaya Sri Sai Celestia, Street No.9, Shankermut Road, Nallakunta, Hyderabad, Telangana – 500044.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP056,Rajasthan Gramin Bank,RRB,Rajasthan,,"Tulsi Tower, 9th B Road, Sardarpura, Jodhpur – 342003 (Rajasthan).",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP057,Uttar Pradesh Gramin Bank,RRB,Uttar Pradesh,,"2nd & 3rd Floor, NBCC Commercial Complex, Vardan Khand, Gomti Nagar Extension, Lucknow–229001 (Uttar Pradesh).",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP058,Kerala Grameena Bank,RRB,Kerala,,"PB No.10, KGB Towers, AK Road, Uphill, Malappuram, Kerala – 676505.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP059,Uttarakhand Gramin Bank,RRB,Uttarakhand,,"18-New Road, Dehradun, Uttarakhand.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP060,Tripura Gramin Bank,RRB,Tripura,,"H.O. Airport Road, PO Abhaynagar, Agartala, Tripura (W) Pin – 799 005.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP061,Karnataka Grameena Bank,RRB,Karnataka,,"Head Office, CA 20, Vijayanagar IInd Stage, Mysuru – 570017 (Karnataka).",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP062,Assam Gramin Bank,RRB,Assam,,"HO, G.S. Road, Bhangagarh, Guwahati- 781 005. (Assam).",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
